№,Время последней сделки,Название,Тикер,"Цена, посл","Изм, %","Объем, млн руб","1 нед, %","1 м, %","ytd, %","ytd, %",Капит-я млрд руб,Капит-я млрд $,ИзмОбъема
152,18:37:57,Лента ао,LENT,686.5,+0.15%,0.70,+2.2%,-10.8%,-31.2%,-31.2%,66.99,1.18,-21%
153,18:34:41,СтаврЭнСбп,STSBP,0.678,+1.12%,0.62,+3.4%,-1.7%,+13.1%,+13.1%,0.78,0.01,+172%
154,18:39:45,ЯТЭК ао,YAKG,107.6,-0.32%,0.60,+0.1%,-8.1%,-3.9%,-3.9%,88.98,1.57,-69%
155,18:39:45,ГТМ ао,GTRK,22.2,+1.6%,0.58,+2.3%,-13.6%,-23.3%,-23.3%,1.30,0.02,-44%
156,18:35:35,ЧЗПСН ао,PRFN,1.805,-0.22%,0.57,+0.3%,-8.8%,-4.2%,-4.2%,1.52,0.03,+48%
157,15:56:13,СМЗ-ао,MGNZ,11320,-0.44%,0.57,-1.7%,-4.1%,+13.0%,+13.0%,4.51,0.08,-46%
158,18:39:38,МагадЭн ао,MAGE,4.98,-4.05%,0.55,-1.6%,-12.3%,-33.6%,-33.6%,2.77,0.05,+38%
159,18:38:42,Авангрд-ао,AVAN,885,-7.81%,0.52,+8.6%,-0.6%,-13.7%,-13.7%,71.82,1.27,-53%
160,18:19:41,ПермьЭнСб,PMSB,115.6,-1.03%,0.43,+1.9%,-27.1%,-25.2%,-25.2%,5.55,0.10,-79%
161,18:39:40,Квадра,TGKD,0.011545,+0.17%,0.43,+0.4%,-9.9%,+42.7%,+42.7%,22.68,0.40,-38%
162,18:39:40,Сахэнер ао,SLEN,3.045,+2.53%,0.42,+2.2%,+5.0%,-18.5%,-18.5%,3.77,0.07,+183%
163,18:39:30,НЕФАЗ,NFAZ,260,+0.58%,0.41,+0.6%,-4.1%,-57.7%,-57.7%,2.09,0.04,-38%
164,18:25:13,СтаврЭнСб,STSB,0.7045,+3.99%,0.41,+8.7%,+3.6%,+2.0%,+2.0%,0.78,0.01,+3107%
165,18:16:54,СаратЭн-ао,SARE,0.111,-0.54%,0.40,+5.3%,-14.2%,-4.6%,-4.6%,0.67,0.01,+60%
166,18:39:34,МордЭнСб,MRSB,0.333,-0.3%,0.39,+0.3%,-6.2%,-18.6%,-18.6%,0.45,0.01,+225%
167,18:35:30,VEON,VEON-RX,41.8,-1.99%,0.39,-5.5%,-35.2%,-67.5%,-67.5%,73.11,1.29,-19%
168,18:30:12,Варьеган-п,VJGZP,608,-0.16%,0.37,+0.5%,-10.2%,-22.1%,-22.1%,27.58,0.49,-22%
169,18:38:43,ПермьЭнС-п,PMSBP,120,+0.5%,0.36,+3.4%,-27.2%,-17.1%,-17.1%,5.55,0.10,-65%
170,18:27:20,ДонскЗР п,DZRDP,1740,0%,0.36,+3.6%,+2.4%,+6.1%,+6.1%,0.84,0.01,-69%
171,18:37:51,КалужскСК,KLSB,9.07,+1.57%,0.35,+3.4%,-2.9%,-14.4%,-14.4%,0.83,0.01,+124%
172,18:23:52,Росбанк ао,ROSB,104.6,-0.57%,0.35,+5.4%,,+37.6%,+37.6%,162.28,2.86,-53%
173,17:04:57,ТНСэКубань,KBSB,171,-1.44%,0.34,+1.8%,+22.1%,+22.6%,+22.6%,3.06,0.05,-61%
174,18:38:37,iНаукаСвяз,NSVZ,155.5,+1.97%,0.31,+6.9%,+9.9%,-13.9%,-13.9%,0.73,0.01,-93%
175,16:43:48,ЮжКузб. ао,UKUZ,1088,+0.18%,0.29,+0.6%,-12.3%,-19.0%,-19.0%,39.29,0.69,+225%
176,18:08:12,Мостотрест,MSTT,75.9,+0.2%,0.29,+2.2%,-1.4%,-8.8%,-8.8%,21.42,0.38,+462%
177,18:33:18,СаратНПЗ,KRKN,7750,+2.65%,0.27,-3.7%,-12.4%,-30.5%,-30.5%,8.48,0.15,-43%
178,16:44:02,iНПОНаука,NAUK,171.8,-0.58%,0.27,+1.7%,-1.2%,-6.0%,-6.0%,2.03,0.04,+192%
179,18:37:46,КузнецкийБ,KUZB,0.018,+1.69%,0.25,+1.4%,-0.9%,0,0,0.41,0.01,-32%
180,16:51:45,ЭнергияРКК,RKKE,6150,-0.81%,0.25,+2.2%,-3.6%,-2.8%,-2.8%,11.34,0.20,+5%
